STATUS|SM_RECORD|CO_ITEM|LOC|SHIPDATE|SCHEDSHIPDATE|SCHEDARRIVDATE|CO_ORDERID|CO_QTY|U_SALES_DOCUMENT|U_SHIP_CONDITION|U_DMDGROUP_CODE|VL_ORDERID|LOADID|VLL_DEST|VLL_SOURCE|VLL_QTY|VLL_ITEM|ASSIGNED_PLANT|U_OVERALLSTS|P1|FIRMSW
2|2914|4055RUPLUS|4000060808|2016-02-22|2016-02-22|2016-02-22|3019569213000010|570|Z1AA|Z1|CPU|3019569213000010|3657058791000010|4000060808|USH3|570|4055RUPLUS|USH3|A|0|0
0|0|4055RUPLUS|4000060814|2016-02-18|2016-02-18|2016-02-18|3019526583000040|570|Z1AA|Z2|ISS|3019526583000040|3657033006000010|4000060814|USXL|570|4055RUPLUS||A|0|0
2|2937|4055RUPLUS|4000061191|2016-02-18|2016-02-18|2016-02-18|3019526631000050|570|Z1AA|Z2|ISS|3019526631000050|3657056774000010|4000061191|UT35|570|4055RUPLUS|UT35|A|0|0
2|2954|4055RUPLUS|4000061823|2016-02-23|2016-02-23|2016-02-23|3019570049000030|570|Z1AA|Z1|CPU|3019570049000030|3657059633000010|4000061823|USWH|570|4055RUPLUS|USWH|A|0|0
2|2956|4055RUPLUS|4000061823|2016-02-25|2016-02-25|2016-02-25|3019570049000060|570|Z1AA|Z1|CPU|3019570049000060|3657059654000010|4000061823|USWH|570|4055RUPLUS|USWH|A|0|0
2|3109|4055RUPLUS|4000063670|2016-02-25|2016-02-25|2016-02-25|3019569114000080|570|Z1AA|Z1|CPU|3019569114000080|3657058900000010|4000063670|UT43|570|4055RUPLUS|UT43|A|0|0
2|3123|4055RUPLUS|4000063830|2016-02-19|2016-02-19|2016-02-19|3019526707000060|570|Z1AA|Z2|ISS|3019526707000060|3657017074000010|4000063830|USZA|570|4055RUPLUS|USZA|A|0|0
2|3124|4055RUPLUS|4000063830|2016-02-20|2016-02-20|2016-02-20|3019526707000080|570|Z1AA|Z2|ISS|3019526707000080|3657017077000010|4000063830|USZA|570|4055RUPLUS|USZA|A|0|0
2|5000|4055RUPLUS|4000087215|2016-02-18|2016-02-18|2016-02-18|3019485594000020|570|Z1AA|Z2|ISS|3019485594000020|3657030889000010|4000087215|USQ4|570|4055RUPLUS|USQ4|A|0|0
2|5012|4055RUPLUS|4000087296|2016-02-26|2016-02-26|2016-02-26|3019491283000010|416|Z1AA|Z1|CPU|3019491283000010|3656956328000010|4000087296|USKM|416|4055RUPLUS|USKM|A|0|0
2|5011|4055RUPLUS|4000087296|2016-02-22|2016-02-22|2016-02-22|3019491261000010|416|Z1AA|Z1|CPU|3019491261000010|3656956330000010|4000087296|USKM|416|4055RUPLUS|USKM|A|0|0
2|5505|4055RUPLUS|4000090683|2016-02-17|2016-02-17|2016-02-17|3019526581000150|570|Z1AA|Z1|CPU|3019526581000150|3657001566000010|4000090683|USZX|570|4055RUPLUS|USZX|A|0|0
2|5505|4055RUPLUS|4000090683|2016-02-17|2016-02-17|2016-02-17|3019526581000680|570|Z1AA|Z1|CPU|3019526581000680|3657001581000010|4000090683|USZX|570|4055RUPLUS|USZX|A|0|0
2|4623|4055RUPLUS|4000083988|2016-02-17|2016-02-17|2016-02-17|3019540590000010|570|Z1AA|Z2|ISS|3019540590000010|3657046905000010|4000083988|UT3A|570|4055RUPLUS|UT3A|A|0|0
2|4624|4055RUPLUS|4000083988|2016-02-18|2016-02-18|2016-02-18|3019551394000010|570|Z1AA|Z2|ISS|3019551394000010|3657056406000010|4000083988|UT3A|570|4055RUPLUS|UT3A|A|0|0
2|4624|4055RUPLUS|4000083988|2016-02-18|2016-02-18|2016-02-18|3019566484000010|570|Z1AA|Z2|ISS|3019566484000010|3657057021000010|4000083988|UT3A|570|4055RUPLUS|UT3A|A|0|0
2|4624|4055RUPLUS|4000083988|2016-02-18|2016-02-18|2016-02-18|3019566489000010|570|Z1AA|Z2|ISS|3019566489000010|3657062761000010|4000083988|UT3A|570|4055RUPLUS|UT3A|A|0|0
2|4643|4055RUPLUS|4000084310|2016-02-19|2016-02-19|2016-02-19|3019446565000045|364|Z1AA|Z1|CPU|3019446565000045|3656901249000020|4000084310|UT45|364|4055RUPLUS|UT45|A|0|0
2|4646|4055RUPLUS|4000084310|2016-02-24|2016-02-24|2016-02-24|3019446565000054|364|Z1AA|Z1|CPU|3019446565000054|3656902955000010|4000084310|UT45|364|4055RUPLUS|UT45|A|0|0
2|4647|4055RUPLUS|4000084310|2016-02-25|2016-02-25|2016-02-25|3019446565000055|364|Z1AA|Z1|CPU|3019446565000055|3656915317000010|4000084310|UT45|364|4055RUPLUS|UT45|A|0|0
2|4672|4055RUPLUS|4000085118|2016-02-18|2016-02-18|2016-02-18|3019573435000001|570|Z1AA|Z2|ISS|3019573435000001|3657062146000010|4000085118|USQ4|570|4055RUPLUS|USQ4|A|0|0
2|4777|4055RUPLUS|4000086109|2016-02-18|2016-02-18|2016-02-18|3019528177000040|570|Z1AA|Z2|ISS|3019528177000040|3657018517000010|4000086109|US8X|570|4055RUPLUS|US8X|A|0|0
0|0|4055RUPLUS|4000086438|2016-02-18|2016-02-18|2016-02-18|3019481294000010|540|Z1AA|Z2|ISS|3019481294000010|3657056404000010|4000086438|USYA|540|4055RUPLUS||A|0|0
0|0|4055RUPLUS|4000095359|2016-02-20|2016-02-20|2016-02-20|3019526599000060|570|Z1AA|Z2|ISS|3019526599000060|3657051978000010|4000095359|USG8|570|4055RUPLUS||A|0|0
2|6018|4055RUPLUS|4000095368|2016-02-18|2016-02-18|2016-02-18|3019531882000010|570|Z1AA|Z2|ISS|3019531882000010|3657056294000010|4000095368|UT76|570|4055RUPLUS|UT76|A|0|0
2|6089|4055RUPLUS|4000095889|2016-02-17|2016-02-17|2016-02-17|3019528209000030|570|Z1AA|Z2|ISS|3019528209000030|3657031650000010|4000095889|USXP|570|4055RUPLUS|USXP|A|0|0
2|6089|4055RUPLUS|4000095889|2016-02-17|2016-02-17|2016-02-17|3019528209000040|570|Z1AA|Z2|ISS|3019528209000040|3657031652000010|4000095889|USXP|570|4055RUPLUS|USXP|A|0|0
2|6090|4055RUPLUS|4000095889|2016-02-18|2016-02-18|2016-02-18|3019528209000050|570|Z1AA|Z2|ISS|3019528209000050|3657064980000010|4000095889|USXT|570|4055RUPLUS|USXT|A|0|0
2|6148|4055RUPLUS|4000096201|2016-02-17|2016-02-17|2016-02-17|3019444873000010|570|Z1AA|Z2|ISS|3019444873000010|3657047042000010|4000096201|UT3V|570|4055RUPLUS|UT3V|A|0|0
