STATUS|SM_RECORD|CO_ITEM|LOC|SHIPDATE|SCHEDSHIPDATE|SCHEDARRIVDATE|CO_ORDERID|CO_QTY|U_SALES_DOCUMENT|U_SHIP_CONDITION|U_DMDGROUP_CODE|VL_ORDERID|LOADID|VLL_DEST|VLL_SOURCE|VLL_QTY|VLL_ITEM|ASSIGNED_PLANT|U_OVERALLSTS|P1
2|55368|4055RUPLUS|6100103989|2016-02-19|2016-02-19|2016-02-19|3019527732000440|570|Z1AA|Z1|CPU|3019527732000440|3657006190000010|6100103989|USYP|570|4055RUPLUS|USYP|A|0
2|55368|4055RUPLUS|6100103989|2016-02-19|2016-02-19|2016-02-19|3019527732000460|570|Z1AA|Z1|CPU|3019527732000460|3657006192000010|6100103989|USYP|570|4055RUPLUS|USYP|A|0
2|57995|4055RUPLUS|6100231181|2016-02-16|2016-02-16|2016-02-16|3019525560000070|570|Z1AA|Z2|ISS|3019525560000070|3657035854000010|6100231181|USIV|570|4055RUPLUS|USIV|A|0
2|60192|4055RUPLUS|6100370039|2016-02-15|2016-02-15|2016-02-15|3019527947000010|570|Z1AA|Z2|ISS|3019527947000010|3657019024000010|6100370039|USQ4|570|4055RUPLUS|USQ4|A|0
2|60299|4055RUPLUS|6100372787|2016-02-16|2016-02-16|2016-02-16|3019550063000010|570|Z1AA|Z2|ISS|3019550063000010|3657035377000010|6100372787|USKR|570|4055RUPLUS|USKR|A|0
2|60332|4055RUPLUS|6100373410|2016-02-17|2016-02-17|2016-02-17|3019528480000050|570|Z1AA|Z1|CPU|3019528480000050|3657006078000010|6100373410|US8X|570|4055RUPLUS|US8X|A|0
2|60328|4055RUPLUS|6100373410|2016-02-15|2016-02-15|2016-02-15|3019526611000400|570|Z1AA|Z2|ISS|3019526611000400|3657024335000010|6100373410|USIK|570|4055RUPLUS|USIK|A|0
2|62820|4055RUPLUS|6100634399|2016-02-16|2016-02-16|2016-02-16|3019515698000004|570|Z1AA|Z2|ISS|3019515698000004|3657035279000010|6100634399|USVI|570|4055RUPLUS|USVI|A|0
2|66920|4055RUPLUS|6101050766|2016-02-15|2016-02-15|2016-02-15|3019464754000010|570|Z1AA|Z1|CPU|3019464754000010|3656924854000010|6101050766|USA3|570|4055RUPLUS|USA3|A|0
2|67034|4055RUPLUS|6101054110|2016-02-17|2016-02-17|2016-02-17|3019526784000190|570|Z1AA|Z2|ISS|3019526784000190|3657020983000010|6101054110|USFD|570|4055RUPLUS|USFD|A|0
2|67044|4055RUPLUS|6101054548|2016-02-17|2016-02-17|2016-02-17|3019526533000030|570|Z1AA|Z1|CPU|3019526533000030|3657001494000010|6101054548|US8J|570|4055RUPLUS|US8J|A|0
0|0|4055RUPLUS|6101056528|2016-02-20|2016-02-20|2016-02-20|3019528306000090|570|Z1AA|Z2|ISS|3019528306000090|3657029876000010|6101056528|US2Z|570|4055RUPLUS||A|0
2|67134|4055RUPLUS|6101057849|2016-02-15|2016-02-15|2016-02-15|3019526266000250|570|Z1AA|Z2|ISS|3019526266000250|3657018345000010|6101057849|US8X|570|4055RUPLUS|US8X|A|0
2|67231|4055RUPLUS|6101062959|2016-02-17|2016-02-17|2016-02-17|3019528453000090|570|Z1AA|Z2|ISS|3019528453000090|3657029251000010|6101062959|UT29|570|4055RUPLUS|UT29|A|0
2|67233|4055RUPLUS|6101062959|2016-02-19|2016-02-19|2016-02-19|3019528453000110|570|Z1AA|Z2|ISS|3019528453000110|3657029257000010|6101062959|UT29|570|4055RUPLUS|UT29|A|0
2|67355|4055RUPLUS|6101069738|2016-02-15|2016-02-15|2016-02-15|3019527529000160|570|Z1AA|Z1|CPU|3019527529000160|3657005380000010|6101069738|UT76|570|4055RUPLUS|UT76|A|0
