STATUS|CO_ORDERID|LOADID|CO_ITEM|SOURCE|S_CITY|S_STATE|DEST|D_CITY|D_STATE|SOURCE_PC|DEST_PC|SOURCE_GEO|DEST_GEO|NEEDARRIVDATE|SCHEDARRIVDATE|NEEDSHIPDATE|SCHEDSHIPDATE|QTY|SOURCING|RUN_DATE|CO_QTY|U_SALES_DOCUMENT|U_SHIP_CONDITION|PC_SOURCE|PC_DEST|DISTANCE|COST|VALUE|INITIAL_COST
0|3019613789000230||4055RUCUST|US9X|ORLANDO|FL|4000131782|ANDERSON|IN|32819|46013|328|460|2016-02-28||2016-02-28||570| |2016-02-24|570|Z1AA|Z2|32819|46013|100|||100
0|3019613789000250||4055RUCUST|US9X|ORLANDO|FL|4000131782|ANDERSON|IN|32819|46013|328|460|2016-03-01||2016-03-01||570| |2016-02-24|570|Z1AA|Z2|32819|46013|100|||100
0|3019613789000210||4055RUCUST|US9X|ORLANDO|FL|4000131782|ANDERSON|IN|32819|46013|328|460|2016-03-05||2016-03-05||570| |2016-02-24|570|Z1AA|Z2|32819|46013|100|||100
0|3019613789000080||4055RUCUST|US9X|ORLANDO|FL|4000131782|ANDERSON|IN|32819|46013|328|460|2016-02-28||2016-02-28||570| |2016-02-24|570|Z1AA|Z2|32819|46013|100|||100
0|3019613789000070||4055RUCUST|US9X|ORLANDO|FL|4000131782|ANDERSON|IN|32819|46013|328|460|2016-03-05||2016-03-05||570| |2016-02-24|570|Z1AA|Z2|32819|46013|100|||100
0|3019613789000110||4055RUCUST|US9X|ORLANDO|FL|4000131782|ANDERSON|IN|32819|46013|328|460|2016-03-02||2016-03-02||570| |2016-02-24|570|Z1AA|Z2|32819|46013|100|||100
0|3019613789000100||4055RUCUST|US9X|ORLANDO|FL|4000131782|ANDERSON|IN|32819|46013|328|460|2016-03-01||2016-03-01||570| |2016-02-24|570|Z1AA|Z2|32819|46013|100|||100
0|3019613789000330||4055RUCUST|US9X|ORLANDO|FL|4000131782|ANDERSON|IN|32819|46013|328|460|2016-03-03||2016-03-03||570| |2016-02-24|570|Z1AA|Z2|32819|46013|100|||100
0|3019613789000240||4055RUCUST|US9X|ORLANDO|FL|4000131782|ANDERSON|IN|32819|46013|328|460|2016-02-29||2016-02-29||570| |2016-02-24|570|Z1AA|Z2|32819|46013|100|||100
0|3019613789000120||4055RUCUST|US9X|ORLANDO|FL|4000131782|ANDERSON|IN|32819|46013|328|460|2016-03-03||2016-03-03||570| |2016-02-24|570|Z1AA|Z2|32819|46013|100|||100
0|3019613789000350||4055RUCUST|US9X|ORLANDO|FL|4000131782|ANDERSON|IN|32819|46013|328|460|2016-03-05||2016-03-05||570| |2016-02-24|570|Z1AA|Z2|32819|46013|100|||100
0|3019613789000170||4055RUCUST|US9X|ORLANDO|FL|4000131782|ANDERSON|IN|32819|46013|328|460|2016-03-01||2016-03-01||570| |2016-02-24|570|Z1AA|Z2|32819|46013|100|||100
0|3019613789000200||4055RUCUST|US9X|ORLANDO|FL|4000131782|ANDERSON|IN|32819|46013|328|460|2016-03-04||2016-03-04||570| |2016-02-24|570|Z1AA|Z2|32819|46013|100|||100
0|3019613789000310||4055RUCUST|US9X|ORLANDO|FL|4000131782|ANDERSON|IN|32819|46013|328|460|2016-03-01||2016-03-01||570| |2016-02-24|570|Z1AA|Z2|32819|46013|100|||100
0|3019613789000320||4055RUCUST|US9X|ORLANDO|FL|4000131782|ANDERSON|IN|32819|46013|328|460|2016-03-02||2016-03-02||570| |2016-02-24|570|Z1AA|Z2|32819|46013|100|||100
0|3019613789000060||4055RUCUST|US9X|ORLANDO|FL|4000131782|ANDERSON|IN|32819|46013|328|460|2016-03-04||2016-03-04||570| |2016-02-24|570|Z1AA|Z2|32819|46013|100|||100
0|3019613789000340||4055RUCUST|US9X|ORLANDO|FL|4000131782|ANDERSON|IN|32819|46013|328|460|2016-03-04||2016-03-04||570| |2016-02-24|570|Z1AA|Z2|32819|46013|100|||100
0|3019613789000010||4055RUCUST|US9X|ORLANDO|FL|4000131782|ANDERSON|IN|32819|46013|328|460|2016-02-28||2016-02-28||570| |2016-02-24|570|Z1AA|Z2|32819|46013|100|||100
0|3019613789000290||4055RUCUST|US9X|ORLANDO|FL|4000131782|ANDERSON|IN|32819|46013|328|460|2016-03-05||2016-03-05||570| |2016-02-24|570|Z1AA|Z2|32819|46013|100|||100
0|3019613789000040||4055RUCUST|US9X|ORLANDO|FL|4000131782|ANDERSON|IN|32819|46013|328|460|2016-03-02||2016-03-02||570| |2016-02-24|570|Z1AA|Z2|32819|46013|100|||100
0|3019613789000270||4055RUCUST|US9X|ORLANDO|FL|4000131782|ANDERSON|IN|32819|46013|328|460|2016-03-03||2016-03-03||570| |2016-02-24|570|Z1AA|Z2|32819|46013|100|||100
0|3019613789000260||4055RUCUST|US9X|ORLANDO|FL|4000131782|ANDERSON|IN|32819|46013|328|460|2016-03-02||2016-03-02||570| |2016-02-24|570|Z1AA|Z2|32819|46013|100|||100
0|3019613789000020||4055RUCUST|US9X|ORLANDO|FL|4000131782|ANDERSON|IN|32819|46013|328|460|2016-02-29||2016-02-29||570| |2016-02-24|570|Z1AA|Z2|32819|46013|100|||100
0|3019613789000300||4055RUCUST|US9X|ORLANDO|FL|4000131782|ANDERSON|IN|32819|46013|328|460|2016-02-29||2016-02-29||570| |2016-02-24|570|Z1AA|Z2|32819|46013|100|||100
0|3019613789000090||4055RUCUST|US9X|ORLANDO|FL|4000131782|ANDERSON|IN|32819|46013|328|460|2016-02-29||2016-02-29||570| |2016-02-24|570|Z1AA|Z2|32819|46013|100|||100
0|3019613789000160||4055RUCUST|US9X|ORLANDO|FL|4000131782|ANDERSON|IN|32819|46013|328|460|2016-02-29||2016-02-29||570| |2016-02-24|570|Z1AA|Z2|32819|46013|100|||100
0|3019568653000030|3657058822000010|4055RUCUST|USE1|ONTARIO|CA|4000139600|ONTARIO|CA|91761|91761|917|917|2016-02-24|2016-02-24|2016-02-24|2016-02-24|570| |2016-02-24|570|Z1AA|Z1|91761|91761|100|||100
0|3019568653000040|3657058830000010|4055RUCUST|USE1|ONTARIO|CA|4000139600|ONTARIO|CA|91761|91761|917|917|2016-02-25|2016-02-25|2016-02-25|2016-02-25|570| |2016-02-24|570|Z1AA|Z1|91761|91761|100|||100
0|3019613447000040||4055RUCUST|US9X|ORLANDO|FL|4000139600|ONTARIO|CA|32819|91761|328|917|2016-03-03||2016-03-03||570| |2016-02-24|570|Z1AA|Z1|32819|91761|100|||100
0|3019613447000030||4055RUCUST|US9X|ORLANDO|FL|4000139600|ONTARIO|CA|32819|91761|328|917|2016-03-02||2016-03-02||570| |2016-02-24|570|Z1AA|Z1|32819|91761|100|||100
