STATUS|CO_ORDERID|LOADID|CO_ITEM|SOURCE|S_CITY|S_STATE|DEST|D_CITY|D_STATE|SOURCE_PC|DEST_PC|SOURCE_GEO|DEST_GEO|NEEDARRIVDATE|SCHEDARRIVDATE|NEEDSHIPDATE|SCHEDSHIPDATE|QTY|SOURCING|RUN_DATE|CO_QTY|U_SALES_DOCUMENT|U_SHIP_CONDITION|PC_SOURCE|PC_DEST|DISTANCE|COST|VALUE|INITIAL_COST|P1|FIRMSW
2|3019652107000010|3657160926000010|4055RUPLUS|USA6|CHESTER|VA|4000264761|RICHMOND|VA|23836|23237|238|232|2016-03-08|2016-03-08|2016-03-08|2016-03-08|570|ISS9DEL|2016-03-01|570|Z1AA|Z1|23836|23237|17|||300|1|0
2|3019652105000010|3657160914000010|4055RUPLUS|USA6|CHESTER|VA|4000264761|RICHMOND|VA|23836|23237|238|232|2016-03-08|2016-03-08|2016-03-08|2016-03-08|570|ISS9DEL|2016-03-01|570|Z1AA|Z1|23836|23237|17|||300|1|0
2|3019652104000010|3657160912000010|4055RUPLUS|USA6|CHESTER|VA|4000264761|RICHMOND|VA|23836|23237|238|232|2016-03-08|2016-03-08|2016-03-08|2016-03-08|570|ISS9DEL|2016-03-01|570|Z1AA|Z1|23836|23237|17|||300|1|0
2|3019652113000010|3657160920000010|4055RUPLUS|USA6|CHESTER|VA|4000264761|RICHMOND|VA|23836|23237|238|232|2016-03-09|2016-03-09|2016-03-09|2016-03-09|570|ISS9DEL|2016-03-01|570|Z1AA|Z1|23836|23237|17|||300|1|0
2|3019652112000010|3657160913000010|4055RUPLUS|USA6|CHESTER|VA|4000264761|RICHMOND|VA|23836|23237|238|232|2016-03-09|2016-03-09|2016-03-09|2016-03-09|570|ISS9DEL|2016-03-01|570|Z1AA|Z1|23836|23237|17|||300|1|0
2|3019652114000010|3657160916000010|4055RUPLUS|USA6|CHESTER|VA|4000264761|RICHMOND|VA|23836|23237|238|232|2016-03-09|2016-03-09|2016-03-09|2016-03-09|570|ISS9DEL|2016-03-01|570|Z1AA|Z1|23836|23237|17|||300|1|0
2|3019652115000010|3657160931000010|4055RUPLUS|USA6|CHESTER|VA|4000264761|RICHMOND|VA|23836|23237|238|232|2016-03-09|2016-03-09|2016-03-09|2016-03-09|570|ISS9DEL|2016-03-01|570|Z1AA|Z1|23836|23237|17|||300|1|0
2|3019652133000010|3657160935000010|4055RUPLUS|USA6|CHESTER|VA|4000264761|RICHMOND|VA|23836|23237|238|232|2016-03-10|2016-03-10|2016-03-10|2016-03-10|570|ISS9DEL|2016-03-01|570|Z1AA|Z1|23836|23237|17|||300|1|0
2|3019652132000010|3657160936000010|4055RUPLUS|USA6|CHESTER|VA|4000264761|RICHMOND|VA|23836|23237|238|232|2016-03-10|2016-03-10|2016-03-10|2016-03-10|570|ISS9DEL|2016-03-01|570|Z1AA|Z1|23836|23237|17|||300|1|0
2|3019652131000010|3657160934000010|4055RUPLUS|USA6|CHESTER|VA|4000264761|RICHMOND|VA|23836|23237|238|232|2016-03-10|2016-03-10|2016-03-10|2016-03-10|570|ISS9DEL|2016-03-01|570|Z1AA|Z1|23836|23237|17|||300|1|0
