STATUS|CO_ORDERID|LOADID|CO_ITEM|SOURCE|S_CITY|S_STATE|DEST|D_CITY|D_STATE|SOURCE_PC|DEST_PC|SOURCE_GEO|DEST_GEO|NEEDARRIVDATE|SCHEDARRIVDATE|NEEDSHIPDATE|SCHEDSHIPDATE|QTY|SOURCING|RUN_DATE|CO_QTY|U_SALES_DOCUMENT|U_SHIP_CONDITION|PC_SOURCE|PC_DEST|DISTANCE|COST|VALUE|INITIAL_COST|P1
2|3019541658000010|3657107575000010|4055RUPLUS|USI7|SUFFOLK|VA|4000068815|NEWPORT NEWS|VA|23435|23603|234|236|2016-02-25|2016-02-25|2016-02-25|2016-02-25|570|ISS9DEL|2016-02-24|570|Z1AA|Z2|23435|23603|45|||303|1
1|3019541665000010||4055RUPLUS|USI7|SUFFOLK|VA|4000068815|NEWPORT NEWS|VA|23435|23603|234|236|2016-03-03||2016-03-03||570|ISS1EXCL|2016-02-24|570|Z1AA|Z2|23435|23603|45|ISS1EXCL_USI7->4000068815-202|0.631|303|1
2|3019515672000004|3657118101000010|4055RUPLUS|UT3A|FRESNO|CA|4000069453|FRESNO|CA|93725|93727|937|937|2016-02-25|2016-02-25|2016-02-25|2016-02-25|570|ISS9DEL|2016-02-24|570|Z1AA|Z2|93725|93727|14|||271|1
1|3019539487000010||4055RUPLUS|US6P|FRESNO|CA|4000069453|FRESNO|CA|93706|93727|937|937|2016-03-01||2016-03-01||540|ISS2MAXDISTSRC-5ZIP|2016-02-24|540|Z1AA|Z2|93706|93727|14|ISS2MAXDISTSRC-5ZIP_US6P->4000069453-202|0.565|271|0
1|3019581960000002||4055RUPLUS|US6P|FRESNO|CA|4000069453|FRESNO|CA|93706|93727|937|937|2016-03-08||2016-03-08||570|ISS2MAXDISTSRC-5ZIP|2016-02-24|570|Z1AA|Z2|93706|93727|14|ISS2MAXDISTSRC-5ZIP_US6P->4000069453-202|0.565|271|0
2|3019421665000070|3656892613000010|4055RUPLUS|UT44|SAINT LOUIS|MO|4000069458|SAINT LOUIS|MO|63114|63123|631|631|2016-02-24|2016-02-24|2016-02-24|2016-02-24|540|ISS9DEL|2016-02-24|540|Z1AA|Z2|63114|63123|100|||100|0
2|3019592358000003|3657086186000010|4055RUPLUS|UT52|BOLINGBROOK|IL|4000069492|BROADVIEW|IL|60440|60153|604|601|2016-02-24|2016-02-24|2016-02-24|2016-02-24|570|ISS9DEL|2016-02-24|570|Z1AA|Z2|60440|60153|25|||343|0
2|3019592358000004|3657086188000010|4055RUPLUS|UT52|BOLINGBROOK|IL|4000069492|BROADVIEW|IL|60440|60153|604|601|2016-02-25|2016-02-25|2016-02-25|2016-02-25|570|ISS9DEL|2016-02-24|570|Z1AA|Z2|60440|60153|25|||343|0
2|3019282678000100|3656745613000010|4055RUPLUS|UT43|TRACY|CA|4000069555|STOCKTON|CA|95377|95203|953|952|2016-02-29|2016-02-29|2016-02-29|2016-02-29|570|ISS9DEL|2016-02-24|570|Z1AA|Z2|95377|95203|19|||299|1
2|3019568084000020|3657108402000010|4055RUPLUS|US8X|SOUTH RIVER|NJ|4000069741|BRIDGETON|NJ|08882|08302|088|083|2016-02-24|2016-02-24|2016-02-24|2016-02-24|570|ISS9DEL|2016-02-24|570|Z1AA|Z2|08882|08302|111|||440|0
2|3019568084000050|3657119252000010|4055RUPLUS|UT3T|KUTZTOWN|PA|4000069741|BRIDGETON|NJ|19530|08302|195|083|2016-02-25|2016-02-25|2016-02-25|2016-02-24|570|ISS9DEL|2016-02-24|570|Z1AA|Z2|19530|08302|100|||100|0
1|3019612704000080||4055RUPLUS|USIK|ALBURTIS|PA|4000069741|BRIDGETON|NJ|18011|08302|180|083|2016-03-04||2016-03-04||570|ISS2MAXDISTSRC-3ZIP|2016-02-24|570|Z1AA|Z2|18011|08302|110|ISS2MAXDISTSRC-3ZIP_USIK->4000069741-202|1.619|777|0
1|3019612704000010||4055RUPLUS|USIK|ALBURTIS|PA|4000069741|BRIDGETON|NJ|18011|08302|180|083|2016-02-29||2016-02-29||570|ISS2MAXDISTSRC-3ZIP|2016-02-24|570|Z1AA|Z2|18011|08302|110|ISS2MAXDISTSRC-3ZIP_USIK->4000069741-202|1.619|777|0
1|3019568084000080||4055RUPLUS|USXK|BARRINGTON|NJ|4000069741|BRIDGETON|NJ|08007|08302|080|083|2016-02-26||2016-02-26||570|ISS2MAXDISTSRC-5ZIP|2016-02-24|570|Z1AA|Z2|08007|08302|49|ISS2MAXDISTSRC-5ZIP_USXK->4000069741-202|0.0842|404|1
1|3019568084000030||4055RUPLUS|USXK|BARRINGTON|NJ|4000069741|BRIDGETON|NJ|08007|08302|080|083|2016-02-26||2016-02-26||570|ISS2MAXDISTSRC-5ZIP|2016-02-24|570|Z1AA|Z2|08007|08302|49|ISS2MAXDISTSRC-5ZIP_USXK->4000069741-202|0.0842|404|1
1|3019612704000050||4055RUPLUS|USXK|BARRINGTON|NJ|4000069741|BRIDGETON|NJ|08007|08302|080|083|2016-03-03||2016-03-03||570|ISS2MAXDISTSRC-5ZIP|2016-02-24|570|Z1AA|Z2|08007|08302|49|ISS2MAXDISTSRC-5ZIP_USXK->4000069741-202|0.0842|404|1
4|3019612704000030||4055RUPLUS|USXK|BARRINGTON|NJ|4000069741|BRIDGETON|NJ|08007|08302|080|083|2016-03-04||2016-03-04||570|ISS2MAXDISTSRC-5ZIP|2016-02-24|570|Z1AA|Z2|08007|08302|49|ISS2MAXDISTSRC-5ZIP_USXK->4000069741-202|0.0842|404|1
4|3019612704000040||4055RUPLUS|USXK|BARRINGTON|NJ|4000069741|BRIDGETON|NJ|08007|08302|080|083|2016-03-01||2016-03-01||570|ISS2MAXDISTSRC-5ZIP|2016-02-24|570|Z1AA|Z2|08007|08302|49|ISS2MAXDISTSRC-5ZIP_USXK->4000069741-202|0.0842|404|1
1|3019612704000020||4055RUPLUS|USXK|BARRINGTON|NJ|4000069741|BRIDGETON|NJ|08007|08302|080|083|2016-03-02||2016-03-02||570|ISS2MAXDISTSRC-5ZIP|2016-02-24|570|Z1AA|Z2|08007|08302|49|ISS2MAXDISTSRC-5ZIP_USXK->4000069741-202|0.0842|404|1
2|3019566098000010|3657102311000010|4055RUPLUS|UT1E|LANSING|MI|4000069860|LAKE ODESSA|MI|48917|48849|489|488|2016-02-24|2016-02-24|2016-02-24|2016-02-24|570|ISS9DEL|2016-02-24|570|Z1AA|Z2|48917|48849|29|||556|1
1|3019600053000010||4055RUPLUS|UT1E|LANSING|MI|4000069860|LAKE ODESSA|MI|48917|48849|489|488|2016-03-01||2016-03-01||570|ISS2MAXDISTSRC-3ZIP|2016-02-24|570|Z1AA|Z2|48917|48849|29|ISS2MAXDISTSRC-3ZIP_UT1E->4000069860-202|0.1158|556|1
1|3019606816000010||4055RUPLUS|UT1E|LANSING|MI|4000069860|LAKE ODESSA|MI|48917|48849|489|488|2016-03-07||2016-03-07||570|ISS2MAXDISTSRC-3ZIP|2016-02-24|570|Z1AA|Z2|48917|48849|29|ISS2MAXDISTSRC-3ZIP_UT1E->4000069860-202|0.1158|556|1
9|3019568933000030|3657097089000010|4055RUPLUS|USQM|HAMMOND|LA|4000069948|SUMMIT|MS|70401|39666|704|396|2016-02-24|2016-02-24|2016-02-24|2016-02-24|540|INTRANSIT|2016-02-24|540|Z1AA|Z2|70401|39666|58|||424|0
2|3019568933000040|3657107042000010|4055RUPLUS|USQM|HAMMOND|LA|4000069948|SUMMIT|MS|70401|39666|704|396|2016-02-25|2016-02-25|2016-02-25|2016-02-25|570|ISS9DEL|2016-02-24|570|Z1AA|Z2|70401|39666|58|||424|1
2|3019609460000001|3657112222000010|4055RUPLUS|USQM|HAMMOND|LA|4000069948|SUMMIT|MS|70401|39666|704|396|2016-02-25|2016-02-25|2016-02-25|2016-02-25|570|ISS9DEL|2016-02-24|570|Z1AA|Z2|70401|39666|58|||424|1
1|3019613666000020||4055RUPLUS|USNJ|GULFPORT|MS|4000069948|SUMMIT|MS|39503|39666|395|396|2016-03-01||2016-03-01||570|ISS2MAXDISTSRC-5ZIP|2016-02-24|570|Z1AA|Z2|39503|39666|149|ISS2MAXDISTSRC-5ZIP_USNJ->4000069948-202|1.073|515|0
1|3019568933000050||4055RUPLUS|USNJ|GULFPORT|MS|4000069948|SUMMIT|MS|39503|39666|395|396|2016-02-26||2016-02-26||570|ISS2MAXDISTSRC-5ZIP|2016-02-24|570|Z1AA|Z2|39503|39666|149|ISS2MAXDISTSRC-5ZIP_USNJ->4000069948-202|1.073|515|0
1|3019613666000030||4055RUPLUS|USQM|HAMMOND|LA|4000069948|SUMMIT|MS|70401|39666|704|396|2016-03-02||2016-03-02||570|ISS2MAXDISTSRC-5ZIP|2016-02-24|570|Z1AA|Z2|70401|39666|58|ISS2MAXDISTSRC-5ZIP_USQM->4000069948-202|0.0883|424|1
