A1|B1|PS_RES|PRODRATE|YIELD_QTY|ITEM|OUTPUTITEM|PRODMETH|LOC|LOC_TYPE|DESCR|STATE|MAXCAP|NUMBER_PERIODS|HOURS_AVAIL_TOTAL|HOURS_USED_TOTAL|MIN_HOURS_USED|MAX_HOURS_USED|AVG_HOURS|SIGMA_HOURS|AVG_PERCENT_UTIL|PERCENT_TOTAL_USED|HRS_DY1|HRS_DY2|HRS_DY3|HRS_DY4|HRS_DY5|HRS_DY6|HRS_DY7|HRS_DY8|HRS_DY9|HRS_DY10|HRS_DY11|HRS_DY12|HRS_DY13|HRS_DY14|MIN_QTY_PRODUCED|MAX_QTY_PRODUCED|AVG_QTY_PRODUCED|SIGMA_QTY_PRODUCED|QTYMADE_DY1|QTYMADE_DY2|QTYMADE_DY3|QTYMADE_DY4|QTYMADE_DY5|QTYMADE_DY6|QTYMADE_DY7|QTYMADE_DY8|QTYMADE_DY9|QTYMADE_DY10|QTYMADE_DY11|QTYMADE_DY12|QTYMADE_DY13|QTYMADE_DY14|AVG_PERCENT_CAPACITY_USED|STDEV_PERCENT_CAPACITY_USED|PERCENT_CAPACITY_USED|PERCENTUTIL_DY1|PERCENTUTIL_DY2|PERCENTUTIL_DY3|PERCENTUTIL_DY4|PERCENTUTIL_DY5|PERCENTUTIL_DY6|PERCENTUTIL_DY7|PERCENTUTIL_DY8|PERCENTUTIL_DY9|PERCENTUTIL_DY10|PERCENTUTIL_DY11|PERCENTUTIL_DY12|PERCENTUTIL_DY13|PERCENTUTIL_DY14|RANK
INS_4055RUPLUS@USVS|INS_4055RUPLUS@USVS|INSCAP@USVS|57|1|4055RUPLUS|4055RUPLUS|INS|USVS|2|IFCO Service Center - Tooele|UT|4558|14|160|33|0|16|2.38|4.38|20.82|20.82|16|7.56|0.7|0|0|0|1.54|1.54|1.54|1.54|0|0|2.39|0.52|0|912|135.65|249.86|912|431|40|0|0|0|87.5|87.5|87.5|87.5|0|0|136.2|29.9|33.32|0|20.82|100|47.26|4.39|||0|9.59|9.59|9.59|9.59|||14.93|3.28|1
INS_4055AR@USVU|INS_4055AR@USVU|INSCAP@USVU|300|1|4055AR|4055AR|INS|USVU|6|CHEP/Costco - Sumner|WA|0|1|16|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|16|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1
INS_4055AR@USVW|INS_4055AR@USVW|INSCAP@USVW|394|0.636|4055AR|4055AR|INS|USVW|4|RLC Sort Op - Bentonville|AR|31500|14|160|72|0|16|5.12|5.05|44.8|44.8|13.64|6.88|6.88|0|0|16|6.9|5.34|5.34|5.34|0|0|5.35|0|0|4009.34|1282.96|1265.66|3418.69|1724.39|1724.39|0|0|4009.34|1729.86|1338.27|1338.27|1338.27|0|0|1339.42|0.57|71.68|0|44.8|85.27|43.01|43.01|||100|43.15|33.38|33.38|33.38|||33.41|0.01|1
INS_4055AR@USVW|INS_4055RUPLUS@USVW|INSCAP@USVW|394|0.364|4055AR|4055RUPLUS|INS|USVW|4|RLC Sort Op - Bentonville|AR|31500|14|160|72|0|16|5.12|5.05|44.8|44.8|13.64|6.88|6.88|0|0|16|6.9|5.34|5.34|5.34|0|0|5.35|0|0|2294.66|734.27|724.37|1956.61|986.91|986.91|0|0|2294.66|990.04|765.93|765.93|765.93|0|0|766.58|0.33|71.68|0|44.8|85.27|43.01|43.01|||100|43.15|33.38|33.38|33.38|||33.41|0.01|1
INS_4055AR@USVZ|INS_4055AR@USVZ|INSCAP@USVZ|155|0.581|4055AR|4055AR|INS|USVZ|4|CHEP/Costco - Dallas|TX|12420|14|160|56|0|15.28|4.01|4.09|35.06|35.06|5.2|5.2|5.2|0|0|15.28|5.04|5.04|5.04|5.04|0|0|5.04|0|0|1376.39|360.83|367.99|468.4|468.4|468.4|0|0|1376.39|453.99|453.99|453.99|453.99|0|0|453.99|0|56.09|0|35.06|32.51|32.51|32.51|||95.52|31.51|31.51|31.51|31.51|||31.51|0|1
INS_4055AR@USVZ|INS_4055RUPLUS@USVZ|INSCAP@USVZ|155|0.419|4055AR|4055RUPLUS|INS|USVZ|4|CHEP/Costco - Dallas|TX|12420|14|160|56|0|15.28|4.01|4.09|35.06|35.06|5.2|5.2|5.2|0|0|15.28|5.04|5.04|5.04|5.04|0|0|5.04|0|0|992.61|260.22|265.39|337.8|337.8|337.8|0|0|992.61|327.41|327.41|327.41|327.41|0|0|327.41|0|56.09|0|35.06|32.51|32.51|32.51|||95.52|31.51|31.51|31.51|31.51|||31.51|0|1
INS_4055AR@USW5|INS_4055AR@USW5|INSCAP@USW5|113|0.498|4055AR|4055AR|INS|USW5|2|Diversified Trans & Stor-Billi|MT|9000|14|160|44|0|11.7|3.18|3.5|27.78|27.78|6.36|0|3.98|0|0|4.78|4.36|4.42|2.55|6.3|0|0|0|11.7|0|658.26|178.68|197.2|358.06|0|224.1|0|0|268.92|245.36|248.95|143.3|354.6|0|0|0|658.26|44.45|0|27.78|39.77|0|24.89|||29.87|27.25|27.65|15.92|39.38|||0|73.11|1
INS_4055AR@USW5|INS_4055RUPLUS@USW5|INSCAP@USW5|113|0.502|4055AR|4055RUPLUS|INS|USW5|2|Diversified Trans & Stor-Billi|MT|9000|14|160|44|0|11.7|3.18|3.5|27.78|27.78|6.36|0|3.98|0|0|4.78|4.36|4.42|2.55|6.3|0|0|0|11.7|0|663.54|180.12|198.78|360.94|0|225.9|0|0|271.08|247.34|250.95|144.45|357.45|0|0|0|663.54|44.45|0|27.78|39.77|0|24.89|||29.87|27.25|27.65|15.92|39.38|||0|73.11|1
REP_4055RUPLUS@USW5|REP_4055RUPLUS@USW5|REPCAP@USW5|19|1|4055RUPLUS|4055RUPLUS|REP|USW5|2|Diversified Trans & Stor-Billi|MT|1510|14|160|136|0|16|9.71|7.8|84.93|84.93|16|16|16|0|0|16|16|16|16|16|0|0|7.89|0|0|304|184.43|148.23|304|304|304|0|0|304|304|304|304|304|0|0|149.99|0|135.89|0|84.93|100|100|100|||100|100|100|100|100|||49.34|0|1
INS_4055AR@USWA|INS_4055AR@USWA|INSCAP@USWA|344|0.692|4055AR|4055AR|INS|USWA|4|CHEP/Costco - Monrovia|MD|27540|14|160|85|0|16|6.05|5.35|52.91|52.91|8.84|8.84|8.84|0|0|16|13.97|7.04|7.04|7.04|0|0|7.04|0|0|3808.77|1439.42|1273.35|2103.96|2103.96|2103.96|0|0|3808.77|3324.92|1676.58|1676.58|1676.58|0|0|1676.58|0|84.65|0|52.91|55.24|55.24|55.24|||100|87.3|44.02|44.02|44.02|||44.02|0|1
