STATUS|SM_RECORD|CO_ITEM|LOC|SHIPDATE|SCHEDSHIPDATE|SCHEDARRIVDATE|CO_ORDERID|CO_QTY|U_SALES_DOCUMENT|U_SHIP_CONDITION|U_DMDGROUP_CODE|VL_ORDERID|LOADID|VLL_DEST|VLL_SOURCE|VLL_QTY|VLL_ITEM|ASSIGNED_PLANT|U_OVERALLSTS|P1|FIRMSW|SM417_RECNUM|SM417_EFF|SOURCING|MINLEADTIME|DUR
5|76622|4001AI|4000095472|2016-02-26|2016-02-26|2016-02-26|3129202952000070|450|Z1BA|Z2|COL|3129202952000070|3750356293000010|USXP|4000095472|450|4001AI|USXP|A|0|0|76735|26-FEB-16|COL9DEL|0|1440
0|0|4055RUPLUS|4000095889|2016-02-24|2016-02-24|2016-02-24|3019569982000030|570|Z1AA|Z2|ISS|3019569982000030|3657108487000010|4000095889|UT1X|570|4055RUPLUS||A|0|0|0||UNMET|0|0
2|124714|4055RUPLUS|4000090683|2016-02-26|2016-02-26|2016-02-26|3019568113000600|570|Z1AA|Z1|CPU|3019568113000600|3657054265000010|4000090683|USZX|570|4055RUPLUS|USZX|A|0|0|124922|26-FEB-16|ISS9DEL|0|1440
2|124718|4055RUPLUS|4000090683|2016-03-01|2016-03-01|2016-03-01|3019612735000300|570|Z1AA|Z1|CPU|3019612735000300|3657109986000010|4000090683|USZX|570|4055RUPLUS|USZX|A|0|0|124928|01-MAR-16|ISS9DEL|0|1440
2|124719|4055RUPLUS|4000090683|2016-03-02|2016-03-02|2016-03-02|3019612735000210|570|Z1AA|Z1|CPU|3019612735000210|3657109998000010|4000090683|USZX|570|4055RUPLUS|USZX|A|0|0|124930|02-MAR-16|ISS9DEL|0|1440
2|124720|4055RUPLUS|4000090683|2016-03-03|2016-03-03|2016-03-03|3019612735000510|570|Z1AA|Z1|CPU|3019612735000510|3657110009000010|4000090683|USZX|570|4055RUPLUS|USZX|A|0|0|124932|03-MAR-16|ISS9DEL|0|1440
2|124720|4055RUPLUS|4000090683|2016-03-03|2016-03-03|2016-03-03|3019612735000690|570|Z1AA|Z1|CPU|3019612735000690|3657110010000010|4000090683|USZX|570|4055RUPLUS|USZX|A|0|0|124932|03-MAR-16|ISS9DEL|0|1440
2|124742|4055RUPLUS|4000090829|2016-03-02|2016-03-02|2016-03-02|3019592848000004|570|Z1AA|Z2|ISS|3019592848000004|3657097673000010|4000090829|US8Z|570|4055RUPLUS|US8Z|A|0|0|124956|02-MAR-16|ISS9DEL|0|1440
2|124774|4055RUPLUS|4000091005|2016-02-25|2016-02-25|2016-02-25|3019568130000010|570|Z1AA|Z2|ISS|3019568130000010|3657107128000010|4000091005|USZY|570|4055RUPLUS|USZY|A|0|0|124987|25-FEB-16|ISS9DEL|0|1440
0|0|4055RUPLUS|4000092332|2016-02-24|2016-02-22|2016-02-24|3019574464000010|570|Z1AA|Z2|ISS|3019574464000010|3657085459000010|4000092332|UT80|570|4055RUPLUS||A|0|0|0||UNMET|0|0
